word	target	forms	processes	indicators	reactions	smile
joke						S0
et						S0
ça						S0
parle						S0
d						S0
un						S0
âne						S0
à						S0
la						S0
fin						S0
ouais						S0
donkey						S0
quoi						S0
ouais						S2
et						S2
oui						S2
le						S2
les						S2
jeux						S2
vidéo						S2
là						S2
ouais						S2
mais						S2
de						S1
de						S1
quoi						S1
he	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S1
ouais	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
non	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
c'est	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
pas	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
drôle	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
du	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
tout	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
haha	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
ha	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
ouais	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
c'est	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
juste	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
que	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
c'est	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
un	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S2
âne	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S2
quoi	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S2
qui	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S2
euh	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S2
à	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S1
la	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S1
fin	A	moquerie	jouer le jeu/évaluation négative	rire	positive	S1
voilà						S0
et						S0
surtout						S0
que						S0
ça						S0
montre						S3
euh						S3
ouais						S4
ha						S4
de	L/I	autodérision/moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
parler	L/I	autodérision/moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
en	L/I	autodérision/moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
rime	L/I	autodérision/moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
hahahahahahahaha	L/I	autodérision/moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
ha	L/I	autodérision/moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
ha	L/I	autodérision/moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
ha	L/I	autodérision/moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
ha	L/I	autodérision/moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
ouais	I	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
haha	I	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
c'est	I	moquerie	jouer le jeu/évaluation négative	rire	positive	S4
t	I	moquerie	jouer le jeu/évaluation négative	rire	positive	S3
aurais	I	moquerie	jouer le jeu/évaluation négative	rire	positive	S3
pu	I	moquerie	jouer le jeu/évaluation négative	rire	positive	S3
mieux	I	moquerie	jouer le jeu/évaluation négative	rire	positive	S3
faire	I	moquerie	jouer le jeu/évaluation négative	rire	positive	S3
quand	I	moquerie	jouer le jeu/évaluation négative	rire	positive	S3
même	I	moquerie	jouer le jeu/évaluation négative	rire	positive	S3
hein	I	moquerie	jouer le jeu/évaluation négative	rire	positive	S3
mais						S3
euh						S1
mh						S1
ouais						S2
elle						S2
va						S2
bien						S2
elle						S2
va						S2
bien						S2
elle						S2
est						S2
au						S2
lycée						S2
ha						S4
ouais						S4
ouais						S3
j'ai						S3
une						S3
soeur						S3
et						S3
toi						S3
hein						S2
ouais	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
he	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
he	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
he	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
he	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
des	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
enfants	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
que	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
t	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
u	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
as	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
pas	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
ha	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
ha						S4
il	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
y	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
a	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
que	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
des	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
enfants	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
que	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
tu	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
connais	I	moquerie	jouer le jeu/fictionnalisation	rire	positive	S4
pas						S4
et	I	moquerie	rebond	rire	positive	S4
tu	I	moquerie	rebond	rire	positive	S4
te	I	moquerie	rebond	rire	positive	S4
demandais	I	moquerie	rebond	rire	positive	S4
si	I	moquerie	rebond	rire	positive	S4
c'était	I	moquerie	rebond	rire	positive	S4
pas	I	moquerie	rebond	rire	positive	S4
ton	I	moquerie	rebond	rire	positive	S4
fils	I	moquerie	rebond	rire	positive	S4
ou	I	moquerie	rebond	rire	positive	S4
ta	I	moquerie	rebond	rire	positive	S4
ta	I	moquerie	rebond	rire	positive	S4
fille	I	moquerie	rebond	rire	positive	S4
haha						S4
ha						S4
euh						S4
non						S4
ouais						S3
mais						S3
c'était						S3
pas						S3
ça						S3
ça						S3
correspondait						S2
pas						S2
à						S2
l						S2
âge						S2
où						S2
tu						S2
l						S2
avais						S2
rencontrée						S2
tout						S2
ça						S2
mais						S0
c'était						S0
il						S0
y						S0
a						S0
vingt						S0
cing						S0
ans						S0
mais						S1
elle						S1
a						S1
quel						S1
âge						S1
la						S1
petite						S1
ah						S0
mais						S0
la						S0
ah						S0
pourquoi						S0
la						S0
fille						S0
elle						S0
avait						S0
c'						S0
pas						S0
un						S0
bébé						S0
c'						S0
t						S0
elle						S0
avait						S0
vingt						S0
euh						S0
elle						S0
avait						S0
vingt						S0
ans						S0
et						S0
quelques						S0
incompréhension						S1
là						S4
