word	target	forms	processes	indicators	reactions	smile
qu'est-ce	A	blague	blague		positive	S0
qu'il	A	blague	blague		positive	S0
y	A	blague	blague		positive	S0
a	A	blague	blague		positive	S0
je	A	blague	blague		positive	S0
t'ai	A	blague	blague		positive	S0
dit	A	blague	blague		positive	S0
que	A	blague	blague		positive	S0
j'étais	A	blague	blague		positive	S0
une	A	blague	blague		positive	S0
belle	A	blague	blague		positive	S0
princesse	A	blague	blague		positive	S0
que	A	blague	blague		positive	S0
je	A	blague	blague		positive	S0
resterai	A	blague	blague		positive	S0
avec	A	blague	blague		positive	S0
toi	A	blague	blague		positive	S0
une	A	blague	blague		positive	S0
semaine	A	blague	blague		positive	S0
et	A	blague	blague		positive	S0
que	A	blague	blague		positive	S0
je	A	blague	blague		positive	S0
ferai	A	blague	blague		positive	S0
tout	A	blague	blague		positive	S0
ce	A	blague	blague		positive	S0
que	A	blague	blague		positive	S0
tu	A	blague	blague		positive	S0
veux	A	blague	blague		positive	S0
pourquoi	A	blague	blague		positive	S0
ne	A	blague	blague		positive	S0
m'embrasses-tu	A	blague	blague		positive	S0
pas	A	blague	blague		positive	S0
l	A	blague	blague		positive	S0
ingénieur	A	blague	blague		positive	S0
répondu	A	blague	blague		positive	S0
écoute	A	blague	blague		positive	S0
je	A	blague	blague		positive	S0
suis	A	blague	blague		positive	S0
un	A	blague	blague		positive	S0
ingénieur	A	blague	blague		positive	S0
je	A	blague	blague		positive	S0
n'ai	A	blague	blague		positive	S0
pas	A	blague	blague		positive	S0
le	A	blague	blague		positive	S0
temps	A	blague	blague		positive	S0
pour	A	blague	blague		positive	S0
une	A	blague	blague		positive	S0
petite	A	blague	blague		positive	S0
copine	A	blague	blague		positive	S0
mais	A	blague	blague		positive	S0
une	A	blague	blague		positive	S0
grenouille	A	blague	blague		positive	S0
qui	A	blague	blague		positive	S0
parle	A	blague	blague		positive	S0
ça	A	blague	blague		positive	S2
c'est	A	blague	blague		positive	S2
cool	A	blague	blague		positive	S2
euh						S4
t						S0
u						S0
veux						S0
que						S0
je						S0
relise						S0
ouais						S0
c'est						S0
une						S0
vanne						S0
en						S0
fait						S0
ben						S0
au						S0
départ						S0
c'est						S0
frog						S0
joke						S0
le						S0
titre						S0
mais						S0
po-						S0
pour						S0
une						S0
vanne						S0
ç-						S0
pour						S0
une						S0
vanne						S0
ça						S0
c'est						S0
un						S0
peu						S0
long						S0
parce						S0
que						S0
donkey						S0
c'est						S0
le						S0
singe						S0
pour						S0
une						S0
vanne						S0
je						S0
trouve						S0
que						S0
c'est						S0
un						S0
peu						S0
long						S0
parce						S0
que						S0
je						S0
vois						S0
pas						S0
trop						S0
la						S0
chute						S0
en						S0
fait						S0
tu						S0
vois						S0
bon						S0
la						S0
chute						S0
c'est						S0
euh						S0
ouais						S0
pf						S0
ouais						S0
c'est						S0
cool						S0
mais						S0
euh						S0
il						S0
faut						S0
ouais						S0
don-						S0
don-						S0
donkey						S0
c'est						S0
c'est						S0
le						S0
c'est						S0
le						S0
singe						S0
ouais						S0
ah						S0
attends						S0
attends						S0
euh						S0
donkey						S0
kong						S0
je						S0
crois						S0
il						S0
y						S0
avait						S0
un						S0
jeu						S0
vidéo						S0
ouais						S0
monkey						S0
monki						S0
c'est						S0
le						S0
singe						S0
ouais						S0
et						S0
donkey						S0
ouais						S0
voilà						S0
voilà						S0
ouais						S0
tu						S0
qu'on						S0
commence						S0
par						S0
ton						S0
histoire						S0
qui	A	moquerie	évaluation négative	prosodie	positive	S0
est	A	moquerie	évaluation négative	prosodie	positive	S0
pas	A	moquerie	évaluation négative	prosodie	positive	S0
drôle	A	moquerie	évaluation négative	prosodie	positive	S0
en	A	moquerie	évaluation négative	prosodie	positive	S0
fait	A	moquerie	évaluation négative	prosodie	positive	S0
hein	A	moquerie	évaluation négative	prosodie	positive	S0
ouais						S1
ouais						S1
parce						S1
que						S1
en						S1
fait						S1
euh						S0
sur						S0
le						S0
malheur						S0
des						S0
gens						S0
en						S0
fait						S0
euh						S0
tu						S0
vois						S0
il						S0
il						S0
veut						S0
faire						S0
son						S0
beurre						S0
quoi						S0
ça	L	autodérision	jeu sur les images	prosodie	positive	S0
rime	L	autodérision	jeu sur les images	prosodie	positive	S0
t	L	autodérision	jeu sur les images	prosodie	positive	S0
u	L	autodérision	jeu sur les images	prosodie	positive	S0
as	L	autodérision	jeu sur les images	prosodie	positive	S0
remarqué	L	autodérision	jeu sur les images	prosodie	positive	S0
je	L	autodérision	jeu sur les images	prosodie	positive	S0
parle	L	autodérision	jeu sur les images	prosodie	positive	S0
je	L	autodérision	jeu sur les images	prosodie	positive	S0
parle	L	autodérision	jeu sur les images	prosodie	positive	S0
en	L	autodérision	jeu sur les images	prosodie	positive	S0
rime	L	autodérision	jeu sur les images	prosodie	positive	S0
on	L/I	autodérision/moquerie	fictionnalisation	rire	positive	S0
va	L/I	autodérision/moquerie	fictionnalisation	rire	positive	S0
essayer	L/I	autodérision/moquerie	fictionnalisation	rire	positive	S0
tout	L/I	autodérision/moquerie	fictionnalisation	rire	positive	S0
le	L/I	autodérision/moquerie	fictionnalisation	rire	positive	S0
long	L/I	autodérision/moquerie	fictionnalisation	rire	positive	S0
de	L/I	autodérision/moquerie	fictionnalisation	rire	positive	S0
de	L/I	autodérision/moquerie	fictionnalisation	rire	positive	S4
parler	L/I	autodérision/moquerie	fictionnalisation	rire	positive	S4
en	L/I	autodérision/moquerie	fictionnalisation	rire	positive	S4
rime	L/I	autodérision/moquerie	fictionnalisation	rire	positive	S4
ouais	L/I	autodérision/moquerie	fictionnalisation	rire	positive	S4
 	L/I	autodérision/moquerie	fictionnalisation	rire	positive	S4
ouais	L/I	autodérision/moquerie	fictionnalisation	rire	positive	S4
ouais 	L	autodérision	évaluation négative	voix souriante	positive	S4
malheur	L	autodérision	évaluation négative	voix souriante	positive	S4
beurre	L	autodérision	évaluation négative	voix souriante	positive	S4
elle	L	autodérision	évaluation négative	voix souriante	positive	S4
est	L	autodérision	évaluation négative	voix souriante	positive	S4
facile	L	autodérision	évaluation négative	voix souriante	positive	S4
hein	L	autodérision	évaluation négative	voix souriante	positive	S4
hè						S3
hè						S3
ah						S3
ouais						S1
ta	L	autodérision	fictionnalisation	prosodienegative	S0
soeur	L	autodérision	fictionnalisation	prosodienegative	S0
va	L	autodérision	fictionnalisation	prosodienegative	S0
bien	L	autodérision	fictionnalisation	prosodienegative	S0
ouais						S0
et						S1
c'est						S1
vrai						S1
t						S1
u						S1
as						S1
une						S1
soeur						S1
mh						S4
mh						S4
ouais						S1
ouais						S1
les	L	autodérision	fictionnalisation	prosodie	positive	S1
enfants	L	autodérision	fictionnalisation	prosodie	positive	S1
ouais	L	autodérision	fictionnalisation	prosodie	positive	S1
ça	L	autodérision	fictionnalisation	prosodie	positive	S1
va	L	autodérision	fictionnalisation	prosodie	positive	S1
en						S1
fin	L	autodérision	jouer le jeu/fictionnalisation	prosodie	positive	S1
ce	L	autodérision	jouer le jeu/fictionnalisation	prosodie	positive	S1
que	L	autodérision	jouer le jeu/fictionnalisation	prosodie	positive	S1
je	L	autodérision	jouer le jeu/fictionnalisation	prosodie	positive	S1
ce	L	autodérision	jouer le jeu/fictionnalisation	prosodie	positive	S1
que	L	autodérision	jouer le jeu/fictionnalisation	prosodie	positive	S1
je	L	autodérision	jouer le jeu/fictionnalisation	prosodie	positive	S1
s-	L	autodérision	jouer le jeu/fictionnalisation	prosodie	positive	S1
je	L	autodérision	jouer le jeu/fictionnalisation	prosodie	positive	S1
connais	L	autodérision	jouer le jeu/fictionnalisation	prosodie	positive	S1
pas	L	autodérision	jouer le jeu/fictionnalisation	prosodie	positive	X
hein	L	autodérision	jouer le jeu/fictionnalisation	prosodie	positive	X
ouais	L	autodérision	jouer le jeu/fictionnalisation	prosodie	positive	X
oui						S1
d						S1
ailleurs						S1
la						S1
dernière						S1
fois						S1
sur						S1
Facebook						S1
euh						S1
je						S1
regardais						S1
un						S1
peu						S1
tu						S1
vois						S0
mais						S0
en						S0
fin						S0
bon						S0
ben						S0
mais						S0
mon						S0
ex						S0
d						S0
il						S0
y						S0
a						S0
vingt-cinq						S0
ans						S0
et						S0
euh						S0
et						S0
je						S0
voyais						S0
qu'à						S0
chaque						S0
fois						S0
il						S0
y						S0
avait						S0
une						S0
photo						S0
euh						S0
avec						S0
une						S0
euh						S0
petite						S0
de						S0
d						S0
à						S0
peu						S0
près						S0
vingt						S0
vingt-deux						S0
ans						S0
et						S0
je						S0
me						S1
demandais						S1
si						S1
c'était						S1
pas						S1
ma						S1
fille						S1
ma						S4
fille						S4
et						S4
et						S4
pendant						S4
et						S4
pendant						S4
pendant						S4
une						S4
semaine						S3
j'ai						S3
été						S3
un						S3
peu						S3
un						S3
perplexe						S3
tu						S3
vois						S3
je						S3
me						S3
disais						S3
merde						S3
oui						S0
parce						S0
que						S0
quelque						S0
part						S0
tu						S0
vois						S0
je						S0
me						S0
disais						S0
merde						S0
j'aurais						S0
bien						S0
aimé						S0
avoir						S0
euh						S0
une						S0
fille						S0
comme						S0
elle						S0
si						S0
si						S0
si						S0
si						S0
si						S0
si						S0
oui						S0
vingt-cinq						S0
mais						S0
tu						S0
a-						S0
c'est						S0
mais						S0
c'est						S0
difficile						S0
d-						S0
de						S0
donner						S0
un						S0
âge						S0
entre						S0
vingt-deux						S0
et						S0
vingt-cinq						S0
ans						S0
tu						S0
peux						S0
pas						S0
savoir						S0
regarde						S0
ma						S0
copine						S0
elle						S0
a						S0
dix-neuf						S0
ans						S0
euh						S0
tout						S0
le						S0
monde						S0
lui						S0
dit						S0
qu'elle						S0
a						S0
de						S0
vingt-cinq						S0
ans						S0
ah						S0
ben						S0
ah						S0
moi						S0
quand						S0
je						S0
l						S0
ai						S0
quittée						S0
elle						S0
était						S0
pas						S0
enceinte						S0
hein						S0
mais						S0
bon						S0
euh						S0
oui						S1
non						S0
m						S0
ais						S0
à						S0
non						S0
c'était						S0
pas						S0
un						S0
bébé						S0
c'était						S0
une						S0
jeune						S0
fille						S0
de						S0
vingt-deux						S0
vingt-cinq						S0
ans						S0
voilà						S0
donc						S0
c'est						S0
pour						S0
ça						S0
j'ai						S0
flippé						S0
tu						S0
vois						S0
zéro						S0
j'ai						S0
flippé						S0
et						S0
donc						S0
dans						S0
dans						S0
le						S0
doute						S0
j'ai						S0
envoyé						S0
un						S0
message						S0
je	L	autodérision	discours rapporté	prosodie	positive	S0
te	L	autodérision	discours rapporté	prosodie	positive	S0
jure	L	autodérision	discours rapporté	prosodie	positive	S0
que	L	autodérision	discours rapporté	prosodie	positive	S0
c'est	L	autodérision	discours rapporté	prosodie	positive	S0
vrai	L	autodérision	discours rapporté	prosodie	positive	S0
si	L	autodérision	discours rapporté	prosodie	positive	S0
si	L	autodérision	discours rapporté	prosodie	positive	S0
si	L	autodérision	discours rapporté	prosodie	positive	S0
oui	L	autodérision	discours rapporté	prosodie	positive	S0
euh	L	autodérision	discours rapporté	prosodie	positive	S0
salut	L	autodérision	discours rapporté	prosodie	positive	S0
euh	L	autodérision	discours rapporté	prosodie	positive	S0
ça	L	autodérision	discours rapporté	prosodie	positive	S3
va	L	autodérision	discours rapporté	prosodie	positive	S3
tu	L	autodérision	discours rapporté	prosodie	positive	S3
veux	L	autodérision	discours rapporté	prosodie	positive	S3
genre	L	autodérision	discours rapporté	prosodie	positive	S3
un						S3
truc						S3
comme						S3
ça						S3
tu						S3
vois						S3
pas						S3
trop						S3
prendre	L	autodérision	fictionnalisation	absence	positive	S3
de	L	autodérision	fictionnalisation	absence	positive	S4
risque	L	autodérision	fictionnalisation	absence	positive	S4
je	L	autodérision	evaluation négative	rire	positive	S4
vais	L	autodérision	evaluation négative	rire	positive	S4
quand-même	L	autodérision	evaluation négative	rire	positive	S4
passer	L	autodérision	evaluation négative	rire	positive	S4
encore	L	autodérision	evaluation négative	rire	positive	S4
pour	L	autodérision	evaluation négative	rire	positive	S4
un	L	autodérision	evaluation négative	rire	positive	S4
gros	L	autodérision	evaluation négative	rire	positive	S4
enculé	L	autodérision	evaluation négative	rire	positive	S4
tu	L	autodérision	evaluation négative	rire	positive	S4
vois	L	autodérision	evaluation négative	rire	positive	S4
pour	L	autodérision	fictionnalisation	prosodie	positive	S4
éviter	L	autodérision	fictionnalisation	prosodie	positive	S4
d	L	autodérision	fictionnalisation	prosodie	positive	S4
avoir	L	autodérision	fictionnalisation	prosodie	positive	S4
des	L	autodérision	fictionnalisation	prosodie	positive	S4
oh	L	autodérision	fictionnalisation	prosodie	positive	S4
pardon	L	autodérision	fictionnalisation	prosodie	positive	S2
excuse-moi	L	autodérision	fictionnalisation	prosodie	positive	S2
pour	L	autodérision	fictionnalisation	prosodie	positive	S2
éviter	L	autodérision	fictionnalisation	prosodie	positive	S2
encore	L	autodérision	fictionnalisation	prosodie	positive	S2
d	L	autodérision	fictionnalisation	prosodie	positive	S2
avoir	L	autodérision	fictionnalisation	prosodie	positive	S2
euh	L	autodérision	fictionnalisation	prosodie	positive	S2
d	L	autodérision	fictionnalisation	prosodie	positive	S2
avoir	L	autodérision	fictionnalisation	prosodie	positive	S2
des	L	autodérision	fictionnalisation	prosodie	positive	S2
des	L	autodérision	fictionnalisation	prosodie	positive	S1
retombées	L	autodérision	fictionnalisation	prosodie	positive	S1
tu	L	autodérision	fictionnalisation	prosodie	positive	S1
vois	L	autodérision	fictionnalisation	prosodie	positive	S1
euh	L	autodérision	fictionnalisation	prosodie	positive	S1
sur	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S1
euh	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S1
sur	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S1
la	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S1
paternité	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S1
genre	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
ah	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
ouais	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
ouais	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
il	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
est	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
gentil	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
et	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
tout	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
mais	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
vient	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
mon	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
gars	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S3
vient	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S4
vient	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S4
il	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S4
y	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S4
a	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S4
les	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S4
études	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S4
à	L	autodérision	fictionnalisation/discours rapporté fictif	rire/prosodie	positive	S4
